type,subtype,city,street,pubMillis
jam,jam_stand_still_traffic,lo barnechea,comandante malbec,1748966610000
hazard,hazard_on_road_pot_hole,macul,arturo gonzálvez,1748962020000
road_closed,road_closed_event,peñalolén,av. tobalaba,1745930892000
police,,santiago,padre alonso de ovalle,1748964457000
jam,jam_stand_still_traffic,ñuñoa,francisco de villagra,1748966830000
chit_chat,,santiago,av. libertador bernardo o'higgins,1748965802000
police,,santiago,placer,1748965849000
jam,,las condes,av. presidente riesco,1748964141000
road_closed,road_closed_event,providencia,arturo burhle,1746454792000
chit_chat,,santiago,av. 10 de julio huamachuco,1748965641000
jam,jam_heavy_traffic,vitacura,av. alonso de córdova,1748965996000
hazard,hazard_on_road_construction,peñalolén,av. oriental,1748965005000
jam,jam_heavy_traffic,recoleta,loreto,1748966458000
road_closed,road_closed_event,ñuñoa,romeo salinas,1743707681000
hazard,hazard_on_road_pot_hole,san joaquín,av. carlos valdovinos,1748430120000
jam,,las condes,av. las condes,1748966687000
hazard,hazard_on_road_pot_hole,,providencia - vitacura - kennedy por túnel san cristóbal,1748017909000
chit_chat,,santiago,san francisco,1748965898000
police,,santiago,san francisco,1748965602000
hazard,hazard_on_road_pot_hole,ñuñoa,la verbena,1748900975000
hazard,hazard_on_road_pot_hole,recoleta,maría del pilar,1748907665000
jam,jam_stand_still_traffic,,salida 5 > tobalaba,1748965412000
road_closed,road_closed_event,,los conquistadores / túnel san cristóbal,1748966725000
police,,peñalolén,av. grecia,1748966760000
police,,santiago,purísima puente oriente,1748966758000
hazard,hazard_on_shoulder_car_stopped,santiago,av. vicuña mackenna,1748966415000
hazard,hazard_on_shoulder_car_stopped,ñuñoa,av. echeñique,1748966233000
hazard,hazard_on_road_pot_hole,las condes,vital apoquindo interior,1748382267000
hazard,hazard_on_road_pot_hole,peñalolén,los cóndores,1748953297000
hazard,hazard_on_shoulder_car_stopped,ñuñoa,av. ossa,1748964876000
hazard,hazard_on_road,vitacura,av. santa maría,1748966756000
hazard,hazard_on_road_construction,las condes,hernando de magallanes,1748952000000
police,,providencia,,1748966483000
hazard,hazard_on_shoulder_car_stopped,providencia,av. nueva providencia,1748966757000
police,police_hiding,santiago,san diego,1748966164000
hazard,hazard_on_shoulder_car_stopped,santiago,av. vicuña mackenna,1748966331000
hazard,hazard_on_shoulder_car_stopped,santiago,san francisco,1748966097000
road_closed,road_closed_event,peñalolén,av. tobalaba,1745930892000
hazard,hazard_on_road_traffic_light_fault,las condes,boccaccio,1748965539000
hazard,hazard_on_road_pot_hole,peñalolén,los baqueanos,1748803342000
police,,conchalí,av. los zapadores,1748964729000
police,,providencia,av. el cerro,1748966399000
road_closed,road_closed_event,peñalolén,av. tobalaba,1745930892000
chit_chat,,santiago,,1748965493000
hazard,hazard_on_road_pot_hole,las condes,av. presidente sebastián piñera echenique,1748962417000
chit_chat,,santiago,placer,1748966163000
hazard,hazard_on_shoulder_car_stopped,providencia,av. ricardo lyon,1748967118000
jam,jam_heavy_traffic,santiago,carmen,1748965813000
jam,,santiago,ñuble,1748966944000
jam,jam_heavy_traffic,las condes,kennedy lateral,1748965620000
police,,peñalolén,altiplano,1748966159000
chit_chat,,las condes,los militares,1748965659000
hazard,hazard_on_road,providencia,av. antonio varas,1748965125000
police,,providencia,av. el cerro,1748967105000
jam,,santiago,ñuble,1748966961000
hazard,hazard_on_road_object,santiago,av. vicuña mackenna,1748966245000
road_closed,road_closed_event,peñalolén,av. tobalaba,1745930892000
hazard,hazard_on_road_pot_hole,recoleta,maría del pilar,1748902715000
hazard,hazard_on_road_construction,,autopista nororiente,1748966447000
police,,providencia,calle del arzobispo,1748967073000
hazard,hazard_on_shoulder_car_stopped,ñuñoa,av. manuel antonio matta,1748965980000
road_closed,road_closed_event,peñalolén,alonso de berríos,1748912344000
hazard,hazard_on_shoulder_car_stopped,ñuñoa,josé domingo cañas,1748965896000
hazard,hazard_on_road_pot_hole,ñuñoa,rodrigo de araya,1748964499000
road_closed,road_closed_event,peñalolén,av. tobalaba,1745930892000
jam,jam_stand_still_traffic,santiago,miraflores,1748966000000
hazard,hazard_on_shoulder_car_stopped,las condes,sebastián elcano,1748967192000
road_closed,road_closed_event,,los conquistadores / túnel san cristóbal,1748966515000
hazard,hazard_on_shoulder_car_stopped,ñuñoa,av. echeñique,1748966269000
hazard,hazard_on_shoulder_car_stopped,vitacura,av. san josemaría escrivá de balaguer,1748966371000
police,police_hiding,peñalolén,pasaje 10,1748966605000
hazard,hazard_on_road,ñuñoa,ángel cruchaga santa maría,1748967184000
police,,ñuñoa,profesor juan gómez millas,1748961840000
hazard,hazard_on_road_construction,providencia,av. suecia,1748966924000
jam,,vitacura,av. alonso de córdova,1748965883000
jam,,santiago,av. 10 de julio huamachuco,1748966512000
jam,jam_heavy_traffic,san miguel,carlos silva vildósola,1748966366000
hazard,hazard_on_road_construction,ñuñoa,av. echeñique,1748966475000
jam,jam_heavy_traffic,las condes,alonso de córdova / kennedy > oriente,1748966052000
chit_chat,,providencia,av. vitacura,1748966418000
jam,jam_stand_still_traffic,vitacura,av. presidente kennedy,1748967038000
police,,santiago,bío-bío,1748966269000
jam,jam_stand_still_traffic,ñuñoa,av. campo de deportes,1748966345000
police,,las condes,av. francisco bilbao,1748965123000
hazard,hazard_on_road_pot_hole,peñalolén,álvaro casanova,1748906536000
hazard,hazard_on_road_pot_hole,peñalolén,alerce andino oriente,1748611050000
jam,jam_heavy_traffic,santiago,san francisco,1748966425000
jam,,vitacura,av. alonso de córdova,1748965753000
police,,,acceso a autopista vespucio sur > poniente,1748966802000
police,,santiago,placer,1748966154000
jam,jam_stand_still_traffic,vitacura,av. presidente kennedy,1748967049000
police,police_hiding,peñalolén,pasaje 9,1748966629000
police,police_hiding,las condes,av. las condes,1748966938000
jam,jam_stand_still_traffic,providencia,av. tobalaba,1748966942000
jam,jam_heavy_traffic,las condes,alonso de córdova / kennedy > oriente,1748965951000
hazard,hazard_on_road_construction,santiago,enrique mac iver,1748966082000
jam,jam_stand_still_traffic,la reina,av. tobalaba,1748966355000
jam,jam_stand_still_traffic,vitacura,salida manquehue sur,1748967089000
hazard,hazard_on_road_pot_hole,las condes,domingo bondi,1748556323000
jam,jam_stand_still_traffic,providencia,seminario,1748965877000
jam,jam_stand_still_traffic,providencia,av. vicuña mackenna,1748966969000
